Bookmark
Bookmark this report: https://irmadev.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,8,"2,239",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,9,"2,306",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,10,"2,160",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,11,"1,877",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,12,"1,683",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,Traffic Count at Picnic Area,2021,"23,124"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,1,769,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,"18,248"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,2,933,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,"18,248"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,3,"1,033",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,"18,248"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,4,"1,339",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,"18,248"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,5,"1,251",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,"18,248"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,6,"1,835",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT FROM STAPLE BEND TUNNEL,2021,"18,248"
